fid,X,Y,Z,Intensity,Classification
1,770104.37,6270722.78,3.73,1113,2
2,770105.63,6270723.83,3.8,987,2
3,770106.33,6270724.73,3.79,1145,2
4,770105.81,6270721.24,3.81,611,2
5,770106.38,6270723.38,4.9,553,4
6,770106.52,6270723.1,4.7,857,4
7,770107.34,6270726.25,3.87,995,2
8,770106.22,6270720.37,4.8,981,4
9,770106.83,6270722.71,3.78,990,2
10,770106.82,6270722.66,4.63,725,4
11,770107.31,6270722.84,3.87,918,2
12,770107.39,6270723.12,5.04,412,4
13,770107.98,6270725.37,5.06,355,4
14,770108.7,6270725.78,3.8,445,2
15,770109.53,6270728.98,3.87,1073,2
16,770110.22,6270731.6,3.94,1065,2
17,770108,6270719.83,3.85,976,2
18,770108.52,6270721.81,4.32,805,3
19,770109.88,6270726.99,4.06,849,2
20,770109.98,6270727.38,5.09,386,4
21,770110.5,6270729.37,3.94,975,2
22,770108.83,6270721.69,3.9,942,2
23,770109.43,6270723.98,3.89,959,2
24,770109.63,6270724.72,5.07,568,4
25,770111.09,6270730.32,3.93,672,2
26,770108.05,6270717.75,3.89,1092,2
27,770108.55,6270719.63,3.86,1005,2
28,770110.21,6270726,3.88,1047,2
29,770109.62,6270722.29,3.79,920,2
30,770109.45,6270721.6,5.11,544,4
31,770109.96,6270723.59,3.86,1052,2
32,770110.65,6270726.22,3.89,1002,2
33,770111.13,6270728.06,3.88,1012,2
34,770113.86,6270738.48,4.09,1054,2
35,770110.26,6270723.07,3.85,1035,2
36,770110.38,6270723.54,3.88,1069,2
37,770110.4,6270723.62,4.59,871,4
38,770111.79,6270728.91,4.15,329,2
39,770111.91,6270729.38,4.94,429,4
40,770112.28,6270730.77,3.97,1049,2
41,770112.39,6270731.21,4.02,1021,2
42,770111.97,6270728.14,3.94,1001,2
43,770112.09,6270728.6,3.99,925,2
44,770112.47,6270730.02,3.93,1045,2
45,770112.81,6270731.32,4.06,899,2
46,770113.98,6270735.8,4.1,991,2
47,770114.82,6270739.01,4.12,1019,2
48,770109.58,6270718.18,3.99,1003,2
49,770110.92,6270723.29,4.67,908,4
50,770111.6,6270725.89,4.9,1002,4
51,770111.71,6270726.3,5.04,460,4
52,770113.01,6270731.27,5.05,463,4
53,770113.6,6270733.52,4.2,344,2
54,770113.53,6270733.28,4.65,768,4
55,770113.57,6270733.41,5.27,925,4
56,770113.65,6270733.7,5.54,256,4
57,770114.32,6270736.3,4.11,767,2
58,770115.77,6270741.82,4.18,929,2
59,770110.04,6270718.32,5.15,533,4
60,770110.56,6270720.31,3.89,1025,2
61,770111.99,6270725.78,4,906,2
62,770112.09,6270726.16,4.97,432,4
63,770112.68,6270728.41,4.17,810,3
64,770114.58,6270735.66,4.19,949,2
65,770115.06,6270737.5,4.09,1031,2
66,770115.18,6270737.97,4.14,992,2
67,770115.9,6270740.72,4.15,970,2
68,770110.34,6270717.64,3.94,1052,2
69,770111.04,6270720.35,4.02,1023,2
70,770111.06,6270720.42,4.8,779,4
71,770111.67,6270722.75,4.58,710,4
72,770113.06,6270728.04,4.89,950,4
73,770114.23,6270732.54,4.06,975,2
74,770114.34,6270732.94,4.19,402,2
75,770114.27,6270732.67,4.7,802,4
76,770114.96,6270735.31,4.92,917,4
77,770115.65,6270737.96,5.26,986,4
78,770117.21,6270743.89,4.23,1043,2
79,770112.03,6270722.63,4.8,602,4
80,770112.72,6270725.23,4.1,987,2
81,770112.84,6270725.71,4.87,243,4
82,770114.02,6270730.22,4.99,549,4
83,770115.94,6270737.55,5.02,782,4
84,770110.97,6270717.69,5.1,289,4
85,770113.67,6270728.03,5.27,347,4
86,770114.27,6270730.34,5.19,413,4
87,770116.25,6270737.9,5.53,563,4
88,770118.35,6270745.92,4.29,1022,2
89,770111.72,6270719.2,3.92,990,2
90,770111.83,6270719.6,4.71,968,4
91,770113.33,6270725.35,5.02,324,4
92,770114.62,6270730.27,5.2,141,4
93,770115.15,6270732.29,4.86,898,4
94,770115.24,6270732.63,5.12,763,4
95,770116.42,6270737.15,5.01,656,4
96,770116.9,6270738.99,4.12,991,2
97,770111.57,6270716.87,4.82,875,4
98,770112.26,6270719.5,3.96,1035,2
99,770112.24,6270719.44,4.89,1040,4
100,770112.62,6270720.88,3.91,1050,2
101,770112.97,6270722.24,3.97,1041,2
102,770112.97,6270722.2,4.8,537,4
103,770114.29,6270727.26,3.96,967,2
104,770114.65,6270728.64,3.98,1161,2
105,770116.17,6270734.45,4.88,415,4
106,770116.64,6270736.22,4.14,1055,2
107,770117.66,6270740.14,5.38,756,4
108,770119.14,6270745.81,4.28,998,2
109,770111.6,6270715.63,3.93,1098,2
110,770112.53,6270719.18,4.83,863,4
111,770113.29,6270722.09,4.59,631,4
112,770113.88,6270724.35,4.51,874,4
113,770116.54,6270734.5,4.2,851,2
114,770117.86,6270739.54,4.29,954,2
115,770119.05,6270744.08,4.33,937,2
116,770120.24,6270748.63,4.34,1086,2
117,770112.2,6270716.9,5.15,532,4
118,770112.71,6270718.86,3.92,1061,2
119,770114.62,6270726.15,3.94,1128,2
120,770115.33,6270728.87,3.95,1065,2
121,770116.5,6270733.35,4.08,1056,2
122,770117.34,6270736.53,4.14,1081,2
123,770118.2,6270739.83,5.69,249,4
124,770112.3,6270715.74,3.93,1039,2
125,770112.52,6270716.6,4.02,526,2
126,770114.45,6270723.98,3.98,997,2
127,770114.53,6270724.28,5,891,4
128,770115.49,6270727.93,3.96,985,2
129,770116.51,6270731.85,5.31,611,4
130,770117.12,6270734.19,4.35,831,3
131,770117.75,6270736.58,5.1,956,4
132,770119.05,6270741.52,5.09,832,4
133,770119.24,6270742.27,5.53,342,4
134,770119.52,6270743.35,4.3,977,2
135,770112.94,6270716.22,4.05,1004,2
136,770113.9,6270719.92,3.9,1030,2
137,770114.25,6270721.23,3.97,971,2
138,770115.42,6270725.72,3.94,1047,2
139,770117.92,6270735.26,4.14,1026,2
140,770118.15,6270736.15,4.18,1015,2
141,770118.84,6270738.78,4.2,1030,2
142,770120.28,6270744.26,5.24,742,4
143,770120.77,6270746.13,4.35,986,2
144,770120.93,6270746.77,5.7,190,4
145,770116.02,6270726.51,5.28,588,4
146,770116.2,6270727.22,3.95,797,2
147,770118.65,6270736.56,4.26,374,2
148,770119.02,6270737.96,4.21,953,2
149,770119.31,6270739.08,5.55,266,4
150,770120.68,6270744.33,5.26,195,4
151,770121.42,6270747.15,4.27,448,2
152,770121.84,6270748.76,5.49,296,4
153,770113.24,6270715.09,3.95,1051,2
154,770113.85,6270717.39,3.94,1075,2
155,770115.39,6270723.26,4.68,633,4
156,770115.47,6270723.59,4.98,1069,4
157,770116.9,6270729.06,4.15,425,2
158,770118.08,6270733.55,4.25,926,2
159,770121.44,6270746.39,5.83,491,4
160,770121.89,6270748.13,4.39,1013,2
161,770122.08,6270748.83,5.61,659,4
162,770113.7,6270715.47,3.97,1000,2
163,770114.47,6270718.41,5.18,773,4
164,770116.52,6270726.21,5.15,766,4
165,770117.02,6270728.14,4.07,1010,2
166,770118.34,6270733.15,4.82,832,4
167,770119.83,6270738.86,5.32,172,4
168,770120.7,6270742.18,4.26,919,2
169,770120.82,6270742.64,4.27,960,2
170,770121.29,6270744.42,4.31,1022,2
171,770114.78,6270717.87,4.01,1047,2
172,770116.09,6270722.88,3.99,1060,2
173,770117.39,6270727.85,4.02,1014,2
174,770118.45,6270731.9,4.14,1051,2
175,770122.81,6270748.54,5.63,968,4
176,770124.86,6270756.39,4.64,1006,2
177,770114.83,6270716.68,3.96,1018,2
178,770115.08,6270717.62,4.05,1032,2
179,770115.44,6270719.03,3.95,938,2
180,770116.15,6270721.72,3.95,900,2
181,770117.1,6270725.34,4.02,1011,2
182,770118.43,6270730.41,4.62,861,3
183,770120.65,6270738.91,4.19,678,2
184,770120.48,6270738.26,5.41,778,4
185,770121.34,6270741.54,4.32,950,2
186,770122.5,6270745.97,5.62,178,4
187,770123.81,6270750.98,5.69,574,4
188,770115.3,6270717.65,4.98,1041,4
189,770116.02,6270720.39,5.02,976,4
190,770116.98,6270724.06,3.97,1048,2
191,770117.4,6270725.68,5.12,581,4
192,770118.01,6270728.01,5.09,723,4
193,770120.01,6270735.64,5.45,636,4
194,770120.41,6270737.15,4.21,1068,2
195,770120.63,6270738,4.35,978,2
196,770121.21,6270740.23,4.36,914,2
197,770121.33,6270740.66,5.38,627,4
198,770121.82,6270742.56,4.36,1009,2
199,770122.91,6270746.71,4.37,993,2
200,770123.87,6270750.36,4.49,987,2
201,770124.46,6270752.63,4.55,1010,2
202,770114.97,6270714.78,3.99,975,2
203,770115.81,6270718,4.82,227,4
204,770117.57,6270724.71,4.02,1018,2
205,770117.68,6270725.15,4.08,908,2
206,770122.3,6270742.78,4.54,801,2
207,770122.45,6270743.34,4.25,687,2
208,770123.71,6270748.17,5.52,286,4
209,770123.87,6270748.78,4.4,844,2
210,770124.93,6270752.81,4.63,880,2
211,770126.13,6270757.41,4.65,974,2
212,770117.08,6270720.96,3.99,1118,2
213,770118.73,6270727.26,4.15,1019,2
214,770119.22,6270729.15,4.08,1036,2
215,770119.55,6270730.37,5.18,155,4
216,770119.82,6270731.41,4.14,1101,2
217,770120.74,6270734.93,4.31,948,2
218,770120.79,6270735.14,5.54,479,4
219,770121.32,6270737.16,4.27,1096,2
220,770121.82,6270739.05,4.29,1033,2
221,770122.66,6270742.27,5.2,895,4
222,770123.25,6270744.53,4.45,1007,2
223,770123.32,6270744.8,4.73,1017,3
224,770123.45,6270745.26,5.59,627,4
225,770124.06,6270747.63,4.56,971,2
226,770124.13,6270747.89,5.67,677,4
227,770124.66,6270749.9,4.5,948,2
228,770124.75,6270750.26,5.63,979,4
229,770125.27,6270752.24,4.55,981,2
230,770125.27,6270752.24,5.43,911,4
231,770125.98,6270754.95,5.51,616,4
232,770115.82,6270714.59,4.25,834,3
233,770119.06,6270726.94,4.86,892,4
234,770119.52,6270728.72,4.11,1017,2
