label,x,y,weight,n_points
0,770139.8538916257,6270699.691576355,2436.0,734
1,770170.7133333334,6270683.818888889,108.0,34
2,770165.7198734178,6270689.754683545,553.0,173
3,770164.9485185186,6270687.335555555,162.0,56
4,770166.4755769232,6270692.280576922,520.0,160
5,770140.8344615385,6270710.92673077,2600.0,797
6,770158.8794186049,6270691.052093023,172.0,55
7,770174.2654545455,6270693.3559090905,220.0,74
8,770153.658,6270694.219999999,75.0,30
9,770154.9374922601,6270708.165139319,1615.0,507
10,770157.2800000001,6270694.83,10.0,5
11,770147.0611881189,6270701.178514852,606.0,197
12,770174.4473553721,6270699.051900827,363.0,122
13,770142.893255814,6270700.852325581,430.0,140
14,770140.4501816349,6270714.048466195,1982.0,629
15,770155.2463636365,6270699.18909091,165.0,57
16,770176.713898305,6270700.53762712,354.0,108
17,770182.1737500001,6270700.186249998,48.0,16
18,770134.8592035398,6270711.690029499,1017.0,341
19,770183.02,6270702.672,50.0,24
20,770178.9099999999,6270702.24,5.0,3
21,770167.7206976744,6270703.19860465,43.0,15
22,770177.43,6270703.38,3.0,3
23,770139.4090734826,6270720.602523962,1878.0,597
24,770168.8415384616,6270705.356923075,156.0,52
25,770176.5014285715,6270703.851428573,7.0,3
26,770179.8400000001,6270704.639999999,20.0,13
27,770184.7705405407,6270704.571891891,37.0,17
28,770168.8899999999,6270708.43322034,295.0,108
29,770120.3897667639,6270714.624606416,1029.0,324
30,770177.6535294119,6270706.027058822,17.0,11
31,770151.8343280184,6270727.673849657,2634.0,823
32,770174.2615789474,6270708.090526315,114.0,43
33,770180.4376923078,6270707.303076923,13.0,9
34,770136.2247368423,6270707.840526315,38.0,14
35,770140.7718207681,6270722.602048364,2109.0,622
36,770176.4663636365,6270709.7579220785,77.0,40
37,770156.4549055019,6270727.871768164,2381.0,722
38,770131.7980000002,6270710.500000001,225.0,70
39,770144.5669760479,6270726.285538922,2004.0,630
40,770181.9260580913,6270715.136639004,482.0,152
41,770172.7610344826,6270711.955862068,29.0,12
42,770140.2972669493,6270725.935137712,1888.0,572
43,770187.4313888891,6270714.638333334,216.0,70
44,770120.6600000001,6270717.392,600.0,194
45,770146.2468865436,6270728.177414249,1895.0,587
46,770172.0733494143,6270726.895782218,1451.0,442
47,770192.5027272727,6270717.18,33.0,12
48,770165.078150834,6270728.307411168,1379.0,412
49,770190.0550000002,6270718.755,4.0,4
50,770193.8915384616,6270719.429999999,52.0,19
51,770106.477368421,6270720.290526316,57.0,19
52,770148.8061216351,6270735.493609172,2006.0,609
53,770187.9175,6270720.067499999,8.0,4
54,770189.0324390244,6270722.470243902,82.0,39
55,770195.4602325582,6270721.324186047,43.0,18
56,770186.0299999999,6270721.18,6.0,3
57,770113.6062237762,6270724.7156643355,429.0,124
58,770122.4093628809,6270728.056454294,722.0,229
59,770110.0162944164,6270724.031269033,197.0,62
60,770192.0425000001,6270723.405,8.0,4
61,770177.9740404042,6270735.123434344,1485.0,495
62,770175.222079208,6270727.90079208,303.0,102
63,770188.5348780488,6270725.521463415,41.0,15
64,770182.1310204082,6270726.749387756,98.0,39
65,770179.7631010453,6270736.945679443,1722.0,535
66,770155.8124988301,6270745.671717362,2137.0,670
67,770197.8403896104,6270728.852727273,77.0,27
68,770153.3877380954,6270744.290119047,2016.0,621
69,770200.7936363637,6270729.936818182,44.0,17
70,770195.5511267607,6270730.519436619,71.0,26
71,770199.655,6270730.905,4.0,3
72,770112.3160000001,6270731.387999999,50.0,17
73,770147.95464539,6270744.60251773,1692.0,512
74,770181.1671007372,6270739.101130221,1221.0,375
75,770201.5934615385,6270732.376153845,104.0,44
76,770198.455,6270731.505,4.0,3
77,770195.873902439,6270732.992195121,41.0,17
78,770170.287573853,6270748.667932118,1591.0,498
79,770194.4482481754,6270736.868321168,137.0,66
80,770199.9623529414,6270736.353529411,102.0,40
81,770172.5196813355,6270756.064825494,2636.0,832
82,770174.1586235187,6270758.060264358,2194.0,747
83,770195.9500000001,6270738.959999999,10.0,7
84,770136.0358295965,6270746.080896861,892.0,272
85,770138.6945776567,6270747.328501362,1101.0,334
86,770188.7527272728,6270740.443636363,44.0,16
87,770200.1397807759,6270744.939865093,593.0,204
88,770193.5915384616,6270740.164615384,13.0,7
89,770183.0510909094,6270743.849454547,275.0,86
90,770171.7100791556,6270753.710936675,1516.0,459
91,770207.4077173914,6270743.443043477,184.0,61
92,770120.2476470589,6270744.056470587,34.0,14
93,770189.1209531503,6270757.667399031,1857.0,579
94,770146.3821226417,6270754.52504717,1272.0,393
95,770196.8270786518,6270750.055280898,445.0,145
96,770123.8754545456,6270747.814545455,165.0,51
97,770163.8576041667,6270755.606822917,1152.0,347
98,770188.6844408946,6270760.831629393,1565.0,522
99,770165.4163636365,6270748.736818182,132.0,42
100,770150.2281347151,6270755.035025907,965.0,304
101,770188.1800777606,6270764.069580094,1929.0,608
102,770161.6498529413,6270751.110882352,136.0,45
103,770212.2295475116,6270752.157828054,221.0,67
104,770187.5422994654,6270752.6554010715,187.0,60
105,770157.4781481482,6270753.587407407,81.0,32
106,770184.9901398603,6270771.909545455,2288.0,798
107,770203.3601401872,6270757.682102805,428.0,126
108,770171.9413452189,6270765.24636953,1234.0,409
109,770200.4884143606,6270765.37857891,1337.0,441
110,770144.3330176899,6270761.653985432,961.0,303
111,770181.140909091,6270756.5618181825,165.0,51
112,770191.0083941605,6270774.119854015,2055.0,723
113,770171.9982008369,6270762.107824268,478.0,143
114,770212.753214286,6270763.6975324685,616.0,182
115,770190.2975700506,6270780.280321544,2177.0,809
116,770144.6522222223,6270764.314074074,405.0,121
117,770136.310392157,6270763.591764706,153.0,52
118,770192.5236170213,6270764.356595744,47.0,16
119,770190.94057047,6270782.935872483,1788.0,705
