label,x,y,weight,n_points,u_proj_m,row_id,residual_m,residual_abs_m,accepted,delta_m
0,770139.8538916257,6270699.691576355,2436.0,734,-5749531.236700816,-2280986,-0.053180692717432976,0.053180692717432976,True,0.983047482519124
1,770170.7133333334,6270683.818888889,108.0,34,-5749533.820631269,-2280987,-0.11647657491266727,0.11647657491266727,True,0.983047482519124
2,770165.7198734178,6270689.754683545,553.0,173,-5749536.274011957,-2280988,-0.04922269284725189,0.04922269284725189,True,0.983047482519124
3,770164.9485185186,6270687.335555555,162.0,56,-5749533.808222483,-2280987,-0.1040677884593606,0.1040677884593606,True,0.983047482519124
4,770166.4755769232,6270692.280576922,520.0,160,-5749538.822668828,-2280989,-0.07724499236792326,0.07724499236792326,True,0.983047482519124
5,770140.8344615385,6270710.92673077,2600.0,797,-5749541.329520903,-2280990,-0.06346249673515558,0.06346249673515558,True,0.983047482519124
6,770158.8794186049,6270691.052093023,172.0,55,-5749533.807310262,-2280987,-0.10315556731075048,0.10315556731075048,True,0.983047482519124
7,770174.2654545455,6270693.3559090905,220.0,74,-5749543.808616841,-2280991,-0.02192386519163847,0.02192386519163847,True,0.983047482519124
8,770153.658,6270694.219999999,75.0,30,-5749533.781339444,-2280987,-0.07718474976718426,0.07718474976718426,True,0.983047482519124
9,770154.9374922601,6270708.165139319,1615.0,507,-5749546.341202449,-2280992,-0.033874901942908764,0.033874901942908764,True,0.983047482519124
10,770157.2800000001,6270694.83,10.0,5,-5749536.19342809,-2280988,0.031361174769699574,0.031361174769699574,True,0.983047482519124
11,770147.0611881189,6270701.178514852,606.0,197,-5749536.269334602,-2280988,-0.044545337557792664,0.044545337557792664,True,0.983047482519124
12,770174.4473553721,6270699.051900827,363.0,122,-5749548.76081214,-2280993,0.06714997719973326,0.06714997719973326,True,0.983047482519124
13,770142.893255814,6270700.852325581,430.0,140,-5749533.814098922,-2280987,-0.1099442271515727,0.1099442271515727,True,0.983047482519124
14,770140.4501816349,6270714.048466195,1982.0,629,-5749543.7908140095,-2280991,-0.004121033474802971,0.004121033474802971,True,0.983047482519124
15,770155.2463636365,6270699.18909091,165.0,57,-5749538.84833301,-2280989,-0.10290917474776506,0.10290917474776506,True,0.983047482519124
16,770176.713898305,6270700.53762712,354.0,108,-5749551.211653843,-2280994,0.13694284576922655,0.13694284576922655,True,0.983047482519124
17,770182.1737500001,6270700.186249998,48.0,16,-5749553.763926342,-2280995,0.10530491638928652,0.10530491638928652,True,0.983047482519124
18,770134.8592035398,6270711.690029499,1017.0,341,-5749538.859291196,-2280989,-0.11386736016720533,0.11386736016720533,True,0.983047482519124
19,770183.02,6270702.672,50.0,24,-5749556.325647635,-2280996,0.06421819422394037,0.06421819422394037,True,0.983047482519124
