x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std
770170.3300000001,6270680.58,2,,6.07,6.09,6.08,0.014142135623730649,0.019999999999999574,1111.1111111111347,nan,nan
770170.6300000001,6270680.58,2,,5.97,6.04,6.005,0.049497474683058526,0.07000000000000028,317.4603174603162,nan,nan
770170.93,6270680.58,3,,5.77,6.15,5.996666666666667,0.20033305601755663,0.3800000000000008,87.71929824561386,nan,nan
770170.03,6270680.879999999,1,,6.01,6.01,6.01,0.0,0.0,11.11111111111111,nan,nan
770170.3300000001,6270680.879999999,6,,5.89,6.01,5.9383333333333335,0.04792355023020152,0.1200000000000001,555.5555555555551,nan,nan
770170.6300000001,6270680.879999999,5,,5.54,6.05,5.864,0.19217179813906096,0.5099999999999998,108.93246187363839,nan,nan
770170.93,6270680.879999999,3,,5.92,6.12,6.053333333333334,0.11547005383792526,0.20000000000000018,166.66666666666652,nan,nan
770169.1300000001,6270681.18,2,,5.78,5.82,5.800000000000001,0.02828427124746224,0.040000000000000036,555.5555555555551,nan,nan
770169.43,6270681.18,1,,6.04,6.04,6.04,0.0,0.0,11.11111111111111,nan,nan
770169.7300000001,6270681.18,4,,5.89,5.99,5.9375,0.05500000000000052,0.10000000000000053,444.44444444444207,nan,nan
770170.03,6270681.18,6,,5.9,6.03,5.973333333333334,0.04760952285695218,0.1299999999999999,512.8205128205133,nan,nan
770170.3300000001,6270681.18,2,,5.84,6.0,5.92,0.1131370849898477,0.16000000000000014,138.88888888888877,nan,nan
770170.6300000001,6270681.18,6,,5.77,6.08,5.916666666666667,0.1055777754390885,0.3100000000000005,215.05376344085988,nan,nan
770170.93,6270681.18,3,,5.91,6.1,6.03,0.10440306508910545,0.1899999999999995,175.43859649122854,nan,nan
770168.8300000001,6270681.48,3,,5.67,5.79,5.716666666666666,0.06429100507328633,0.1200000000000001,277.77777777777754,nan,nan
770169.1300000001,6270681.48,3,,5.65,5.93,5.8,0.14106735979665844,0.27999999999999936,119.04761904761932,nan,nan
770169.43,6270681.48,4,,5.77,6.01,5.93,0.10862780491200241,0.2400000000000002,185.18518518518502,nan,nan
770169.7300000001,6270681.48,4,,5.86,5.9,5.875,0.017320508075689016,0.040000000000000036,1111.1111111111102,nan,nan
770170.03,6270681.48,3,,5.79,6.0,5.91,0.10816653826391978,0.20999999999999996,158.73015873015876,nan,nan
770170.3300000001,6270681.48,2,,5.82,5.92,5.87,0.0707106781186545,0.09999999999999964,222.222222222223,nan,nan
770168.2300000001,6270681.779999999,2,,5.71,5.76,5.734999999999999,0.03535533905932694,0.04999999999999982,444.444444444446,nan,nan
770168.53,6270681.779999999,1,,5.79,5.79,5.79,0.0,0.0,11.11111111111111,nan,nan
770168.8300000001,6270681.779999999,6,,5.68,5.84,5.788333333333333,0.06047037842337936,0.16000000000000014,416.66666666666634,nan,nan
770169.1300000001,6270681.779999999,5,,5.93,6.0,5.958,0.025884358211089652,0.07000000000000028,793.6507936507904,nan,nan
770169.43,6270681.779999999,3,,5.89,5.92,5.8999999999999995,0.017320508075688596,0.03000000000000025,1111.111111111102,nan,nan
770169.7300000001,6270681.779999999,3,,5.85,5.99,5.916666666666667,0.07023769168568521,0.14000000000000057,238.09523809523714,nan,nan
770170.03,6270681.779999999,1,,6.06,6.06,6.06,0.0,0.0,11.11111111111111,nan,nan
770167.93,6270682.08,2,,5.87,5.92,5.895,0.03535533905932756,0.04999999999999982,444.444444444446,nan,nan
770168.2300000001,6270682.08,1,,5.76,5.76,5.76,0.0,0.0,11.11111111111111,nan,nan
770168.53,6270682.08,6,,5.68,5.87,5.805,0.0742293742395828,0.1900000000000004,350.8771929824554,nan,nan
770168.8300000001,6270682.08,2,,5.8,5.81,5.805,0.007071067811865324,0.009999999999999787,2222.2222222222695,nan,nan
770169.1300000001,6270682.08,4,,5.67,6.09,5.8425,0.17802153427792575,0.41999999999999993,105.82010582010584,nan,nan
770169.43,6270682.08,1,,5.76,5.76,5.76,0.0,0.0,11.11111111111111,nan,nan
